0&(16, 38)&(55, 10)&100
1&(16, 38)&(54, 10)&100
2&(16, 38)&(54, 11)&100
3&(16, 38)&(54, 12)&100
4&(16, 38)&(54, 13)&100
5&(16, 38)&(53, 13)&100
6&(16, 38)&(52, 13)&100
7&(16, 38)&(51, 13)&100
8&(16, 38)&(50, 13)&100
9&(16, 38)&(49, 13)&100
10&(16, 38)&(48, 13)&100
11&(16, 38)&(47, 13)&100
12&(16, 38)&(46, 13)&100
13&(16, 38)&(45, 13)&100
14&(16, 38)&(44, 13)&100
15&(16, 38)&(43, 13)&100
16&(16, 38)&(42, 13)&100
17&(16, 38)&(41, 13)&100
18&(16, 38)&(40, 13)&100
19&(16, 38)&(39, 13)&100
20&(16, 38)&(38, 13)&100
21&(16, 38)&(37, 13)&100
22&(16, 38)&(36, 13)&100
23&(16, 38)&(35, 13)&100
24&(16, 38)&(34, 13)&100
25&(16, 38)&(33, 13)&100
26&(16, 38)&(32, 13)&100
27&(16, 38)&(32, 14)&100
28&(16, 38)&(32, 15)&100
29&(16, 38)&(32, 16)&100
30&(16, 38)&(32, 17)&100
31&(16, 38)&(32, 18)&100
32&(16, 38)&(32, 19)&100
33&(16, 38)&(32, 20)&100
34&(16, 38)&(32, 21)&100
35&(16, 38)&(32, 22)&100
36&(16, 38)&(32, 23)&100
37&(16, 38)&(32, 24)&100
38&(16, 38)&(32, 25)&100
39&(16, 38)&(32, 26)&100
40&(16, 38)&(31, 26)&100
41&(16, 38)&(31, 25)&100
42&(16, 38)&(30, 25)&100
43&(16, 38)&(29, 25)&100
44&(16, 38)&(30, 25)&100
45&(16, 38)&(31, 25)&100
46&(16, 38)&(32, 25)&100
47&(16, 38)&(33, 25)&100
48&(16, 38)&(34, 25)&100
49&(16, 38)&(35, 25)&100
50&(16, 38)&(36, 25)&100
51&(16, 38)&(37, 25)&100
52&(16, 38)&(38, 25)&100
53&(16, 38)&(39, 25)&100
54&(16, 38)&(40, 25)&100
55&(16, 38)&(41, 25)&100
56&(16, 38)&(42, 25)&100
57&(16, 38)&(43, 25)&100
58&(16, 38)&(42, 25)&100
59&(16, 38)&(42, 26)&99
60&(16, 38)&(41, 26)&99
61&(16, 38)&(41, 27)&99
62&(16, 38)&(41, 28)&99
63&(16, 38)&(41, 29)&99
64&(16, 38)&(41, 30)&99
65&(16, 38)&(41, 31)&99
66&(16, 38)&(41, 32)&99
67&(16, 38)&(41, 33)&99
68&(16, 38)&(41, 34)&99
69&(16, 38)&(41, 35)&99
70&(16, 38)&(41, 36)&99
71&(16, 38)&(40, 36)&99
72&(16, 38)&(39, 36)&99
73&(16, 38)&(38, 36)&99
74&(16, 38)&(37, 36)&99
75&(16, 38)&(36, 36)&99
76&(16, 38)&(35, 36)&99
77&(16, 38)&(34, 36)&99
78&(16, 38)&(33, 36)&99
79&(16, 38)&(32, 36)&99
80&(16, 38)&(31, 36)&99
81&(16, 38)&(30, 36)&99
82&(16, 38)&(29, 36)&99
83&(16, 38)&(28, 36)&99
84&(16, 38)&(27, 36)&99
85&(16, 38)&(26, 36)&99
86&(16, 38)&(25, 36)&99
87&(16, 38)&(24, 36)&99
88&(16, 38)&(23, 36)&99
89&(16, 38)&(22, 36)&99
90&(16, 38)&(21, 36)&99
91&(16, 38)&(20, 36)&99
92&(16, 38)&(19, 36)&99
93&(16, 38)&(18, 36)&99
94&(16, 38)&(17, 36)&99
95&(16, 38)&(16, 36)&99
96&(16, 38)&(16, 37)&99
97&(16, 38)&(16, 38)&99
